GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaTesting,org.example,Main,14,0,0,0,4,0,2,0,2,0
JavaTesting,org.example,Example,0,123,0,18,0,36,0,22,0,13
